rcn;code;title;shortTitle;language
664790;ICT-05-2014;Smart Networks and novel Internet Architectures;;en
664949;NFRP-11-2015;Modelling and analysing the energy system, its transformation and impacts.;;en
665011;NMP-11-2015;Nanomedicine therapy for cancer;;en
664768;BG-16-2015;Coordination action in support of the implementation of the Joint Programming Initiative on 'Healthy and Productive Seas and Oceans';;en
665015;NMP-15-2015;Materials innovations for optimisation of cooling in power plants;;en
664777;ISIB-07-2014;Public procurement networks on innovative bio-based products;;en
665038;NMP-38-2014;Presidency events;;en
665153;GARRI-4-2015;Innovative approach to release and disseminate research results and measure their impact;;en
665019;NMP-19-2015;Materials for severe operating conditions, including added-value functionalities;;en
664779;ISIB-09-2014;Supporting National Contact Points for Horizon 2020 Societal Challenge 2 on �Food Security, Sustainable Agriculture, Marine and Maritime Research and the Bioeconomy� and the Key Enabling Technology (KET) �Biotechnology�;;en
665028;NMP-28-2014;Assessment of environmental fate of nanomaterials;;en
665012;NMP-12-2015;Biomaterials for treatment and prevention of Alzheimer's disease;;en
664822;ICT-37-2014;Open Disruptive Innovation Scheme (implemented through the SME instrument);;en
664842;ISIB-12e-2015;Sustainable livestock production ;;en
665152;GARRI-3-2014;Scientific Information in the Digital Age: Text and Data Mining (TDM);;en
665172;PHC-03-2015;Understanding common mechanisms of diseases and their relevance in co-morbidities;;en
665036;NMP-36-2014;Facilitating knowledge management, networking and coordination in NMP;;en
665013;NMP-13-2014;Storage of energy produced by decentralised sources;;en
665016;NMP-16-2015;Extended in-service service of advanced functional materials in energy technologies (capture, conversion, storage and/or transmission of energy);;en
664843;ISIB-12f-2015; Biomarkers for nutrition and health ;;en
665033;NMP-33-2014;The materials 'common house';;en
665018;NMP-18-2014;Materials solutions for use in the creative industry sector;;en
665154;GARRI-5-2014;Ethics in Research: Promoting Integrity;;en
665169;FETPROACT-3-2014;Quantum simulation;;en
664946;NFRP-08-2015;High density uranium fuel and targets for the production of medical radioisotopes;;en
665017;NMP-17-2014;Post-lithium ion batteries for electric automotive applications;;en
664868;LCE-18-2014;Supporting Joint Actions on demonstration and validation of innovative energy solutions;;en
665040;FoF-01-2014;Process optimisation of manufacturing assets;;en
664908;MG-5.4-2015;Strengthening the knowledge and capacities of local authorities;;en
664869;LCE-19-2014;"Supporting coordination of national R&amp;D activities";;en
664916;MG-8.2a-2014;Next generation transport infrastructure: resource efficient, smarter and safer;;en
664943;NFRP-05-2014;Supporting the licensing of geological repositories;;en
664906;MG-5.2-2014;Reducing impacts and costs of freight and service trips in urban areas;;en
664915;MG-8.1a-2014;Smarter design, construction and maintenance;;en
664909;MG-5.5a-2015;Demonstrating and testing innovative solutions for cleaner and better urban transport and mobility;;en
665037;NMP-37-2014;Practical experience and facilitating combined funding for large-scale RDI initiatives;;en
664944;NFRP-06-2014;Supporting the implementation of the first-of-the-kind geological repositories;;en
664945;NFRP-07-2015;Integrating radiation research in the European Union;;en
665052;FoF-13-2015;Re-use and remanufacturing technologies and equipment for sustainable product lifecycle management;;en
664870;LCE-19-2015;"Supporting coordination of national R&amp;D activities";;en
664955;EURO-2-2014;The European growth agenda;;en
664951;NFRP-13-2014;Fostering the network of National Contact Points;;en
664615;INFRAIA-1-2014-2015;Integrating and opening existing national and regional research infrastructures of European interest;;en
664844;LCE-01-2014;New knowledge and technologies;;en
664860;LCE-12-2015;Demonstrating advanced biofuel technologies;;en
664950;NFRP-12-2015;Nuclear developments and interaction with society;;en
664958;EURO-5-2015;ERA-NET on Smart Urban Futures;;en
665047;FoF-08-2015;ICT-enabled modelling, simulation, analytics and forecasting technologies;;en
664861;LCE-13-2015;Partnering with Brazil on advanced biofuels;;en
664907;MG-5.3-2014;Tackling urban road congestion;;en
665087;DRS-15-2015;Critical Infrastructure Protection topic 4: Protecting potentially hazardous and sensitive sites/areas considering multi-sectorial dependencies;;en
664910;MG-6.1-2014;Fostering synergies alongside the supply chain (including e.commerce);;en
664912;MG-6.3-2015;Common communication and navigation platforms for pan-European logistics applications;;en
665179;PHC-10-2014;Development of new diagnostic tools and technologies: in vitro devices, assays and platforms;;en
664911;MG-6.2-2014;De-stressing the supply chain;;en
664956;EURO-3-2014;European societies after the crisis;;en
665042;FoF-03-2014;Global energy and other resources efficiency in manufacturing enterprises;;en
665173;PHC-04-2015;Health promotion and disease prevention: improved inter-sector co-operation for environment and health based interventions;;en
664952;NFRP-14-2014;Regional initiative aiming at nuclear research and training capacity building;;en
664865;LCE-15-2015;Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS;;en
664871;LCE-20-2014;The human factor in the energy system;;en
664873;LCE-22-2014;Fostering the network of National Contact Points;;en
665086;DRS-14-2015;Critical Infrastructure Protection topic 3: Critical Infrastructure resilience indicator - analysis and development of methods for assessing resilience;;en
664785;ERC-PoC-2014;ERC Proof of Concept Grant;;en
664859;LCE-12-2014;Demonstrating advanced biofuel technologies;;en
664821;ICT-36-2015;Pre-commercial procurement open to all areas of public interest requiring new ICT solutions;;en
665180;PHC-11-2015;Development of new diagnostic tools and technologies: in vivo medical imaging technologies;;en
664630;INFRASUPP-5-2014;Policy measures for research infrastructures;;en
665105;FCT-10-2014;Urban security topic 1: Innovative solutions to counter security challenges connected with large urban environment;;en
664917;MG-8.3-2015;Facilitating market take up of innovative transport infrastructure solutions;;en
664918;MG-8.4a-2015;Smart governance, network resilience and streamlined delivery of infrastructure innovation;;en
664953;NFRP-15-2014;Specific support to the work of the Sustainable Nuclear Energy Technology Platform;;en
664862;LCE-14-2014;Market uptake of existing and emerging sustainable bioenergy;;en
664629;INFRASUPP-4-2015;New professions and skills for e-infrastructures;;en
665108;FCT-13-2014;Ethical/Societal Dimension Topic 1: Factors affecting (in-) security;;en
665107;FCT-12-2014;Urban security topic 3: Minimum intrusion tools for de-escalation during mass gatherings improving citizens' protection;;en
664872;LCE-21-2015;Modelling and analysing the energy system, its transformation and impacts;;en
664863;LCE-14-2015;Market uptake of existing and emerging sustainable bioenergy;;en
664864;LCE-15-2014;Enabling decarbonisation of the fossil fuel-based power sector and energy intensive industry through CCS;;en
665041;FoF-02-2014;Manufacturing  processes for complex structures and geometries with efficient use of material;;en
665168;FETFLAG-2-2014;2014: Policy environment for FET Flagships;;en
665183;PHC-13-2014;New therapies for chronic non-communicable diseases;;en
665074;DRS-03-2015;Crisis management topic 3: Demonstration activity on large scale disasters and crisis management and resilience of EU external assets against major identified threats or causes of crisis;;en
665053;FoF-14-2015;Integrated design and management of production machinery and processes;;en
665185;PHC-15-2014;Clinical research on regenerative medicine;;en
664919;MG-9.1-2015;Transport societal drivers;;en
664797;ICT-12-2015;Integrating experiments and facilities in FIRE+;;en
664804;ICT-19-2015;Technologies for creative industries, social media and convergence;;en
665186;PHC-15-2015;Clinical research on regenerative medicine;;en
665106;FCT-11-2014;Urban security topic 2: Countering the terrorist use of an explosive threat, across the timeline of a plot, including the detection of explosives in a flow;;en
664914;MG-7.2a-2014;Towards seamless mobility addressing fragmentation in ITS deployment in Europe;;en
664807;ICT-22-2014;Multimodal and Natural computer interaction;;en
664954;EURO-1-2014;Resilient and sustainable economic and monetary union in Europe;;en
664933;IT-1-2014;Small business innovation research for Transport;;en
664934;IT-1-2015;Small business innovation research for Transport;;en
665181;PHC-12-2014;Clinical research for the validation of biomarkers and/or diagnostic medical devices;;en
664922;MG-9.4-2014;Research, technology development and market prospects for the European transport industries;;en
664582;SC5-09-2014;Consolidating the European Research Area on biodiversity and ecosystem services;;en
664580;SC5-07-2015;More effective ecosystem restoration in the EU;;en
664924;MG-9.6-2014;Strengthening the research and innovation strategies of the transport industries in Europe;;en
664828;EUB-3-2015;Experimental Platforms;;en
665167;FETFLAG-1-2014;2014: Framework Partnership Agreement;;en
664920;MG-9.2-2014;User behaviour and mobility patterns in the context of major societal trends;;en
665182;PHC-12-2015;Clinical research for the validation of biomarkers and/or diagnostic medical devices;;en
664981;INT-05-2015;Rethinking the European Union crisis response mechanism in light of recent conflicts;;en
665075;DRS-04-2014;Crisis management topic 4: Feasibility study for strengthening capacity-building for health and security protection in case of large-scale pandemics � Phase I Demo;;en
665044;FoF-05-2014;Innovative Product-Service design using manufacturing intelligence;;en
665109;FCT-15-2015;Ethical/Societal Dimension Topic 3: Better understanding the role of new social media networks and their use for public security purposes;;en
665184;PHC-14-2015;New therapies for rare diseases;;en
664984;INT-08-2015;The European Union and the Eastern Partnership;;en
665110;FCT-16-2015;Ethical/Societal Dimension Topic 4 - Investigating the role of social, psychological and economic aspects of the processes that lead to organized crime (including cyber related offenses), and terrorist networks and their impact on social cohesion;;en
665078;DRS-07-2014;Crisis management topic 7: Crises and disaster resilience � operationalizing resilience concepts;;en
664633;INFRASUPP-8-2014;Network of National Contact Points;;en
664632;INFRASUPP-7-2014;e-Infrastructure policy development and international cooperation;;en
664913;MG-7.1-2014;Connectivity and information sharing for intelligent mobility;;en
664839;ISIB-12a-2014;Sustainable and resilient agriculture for food and non-food systems ;;en
665188;PHC-17-2014;Comparing the effectiveness of existing healthcare interventions in the elderly;;en
664923;MG-9.5-2015;Fostering transnational cooperation in European transport research and innovation � NCP network;;en
664596;SC5-18b-2015;Integrating North African, Middle East and Balkan Earth Observation capacities in GEOSS;;en
665081;DRS-09-2015;"Disaster Resilience &amp; Climate Change topic 1: Science and innovation for adaptation to climate change: from assessing costs, risks and opportunities to demonstration of options and practices";;en
664921;MG-9.3-2014;Analysis of funding schemes for transport infrastructure;;en
665050;FoF-11-2015;Flexible production systems based on integrated tools for rapid reconfiguration of machinery and robots;;en
665051;FoF-12-2015;Industrial technologies for advanced joining and assembly processes for multi-materials;;en
665076;DRS-05-2014;Crisis management topic 5: Situation awareness of Civil Protection decision-making solutions � preparing the ground for a Pre-commercial Procurement (PCP);;en
664591;SC5-14-2014;Consolidating global knowledge on the green economy in support of sustainable development objectives in Europe and internationally;;en
664837;SFS-03b-2014;EU-China cooperation on IPM in agriculture ;;en
664994;INSO-5-2015;Social innovation Community;;en
664806;ICT-21-2014;Advanced digital gaming/gamification technologies;;en
664602;BIR-1-2014;Boosting the Investment-Readiness of SMEs and Small Midcaps;;en
664593;SC5-16-2014;Making Earth Observation and Monitoring Data usable for ecosystem modelling and services;;en
665077;DRS-06-2015;Crisis management topic 6: Addressing standardisation opportunities in support of increasing disaster resilience;;en
665114;BES-03-2015;Maritime Border Security topic 3: Light optionally piloted vehicles (and sensors) for maritime surveillance;;en
664095;ERC-PoC-2015;ERC Proof of Concept Grant;;en
665113;BES-02-2015;Maritime Border Security topic 2: affordable and easily deployable technologies for EU coastal border surveillance with reduced impact on the environment;;en
665043;FoF-04-2014;Developing smart factories that are attractive to workers;;en
664818;ICT-33-2014;Trans-national co-operation among National Contact Points;;en
665079;DRS-08-2014;Crisis management topic 8: Trans-national co-operation among National Contact Points (NCPs) for Security;;en
664985;INT-09-2015;The European Union, Turkey and its wider neighbourhood: challenges and opportunities;;en
665080;DRS-09-2014;"Disaster Resilience &amp; Climate Change topic 1: Science and innovation for adaptation to climate change: from assessing costs, risks and opportunities to demonstration of options and practices";;en
665187;PHC-16-2015;Tools and technologies for advanced therapies;;en
665085;DRS-13-2015;Critical Infrastructure Protection topic 2: Demonstration activity on tools for adapting building and infrastructure standards and design methodologies in vulnerable locations in the case of natural or man-originated catastrophes;;en
665177;PHC-08-2014;Vaccine development for poverty-related and neglected infectious diseases: tuberculosis;;en
664928;GV-3-2014;Future natural gas powertrains and components for cars and vans;;en
665161;FETOPEN-3-2015;Coordination and Support Activities;;en
664661;COMPET-01-2015;Technologies for European non-dependence and competitiveness;;en
664840;ISIB-12c-2015;Monitoring and mitigation of agricultural and forestry greenhouse gases (GHG) ;;en
664572;WATER-5b-2015;A coordination platform;;en
665083;DRS-11-2015;"Disaster Resilience &amp; Climate Change topic 3: Mitigating the impacts of climate change and natural hazards on cultural heritage sites, structures and artefacts";;en
664854;LCE-08-2014;Local / small-scale storage;;en
664595;SC5-18a-2014;Coordinating European Observation Networks to reinforce the knowledge base for climate, natural resources and raw materials;;en
664640;GALILEO-4-2014;"EGNSS awareness raising, capacity building and/or promotion activities, inside or outside of the European Union
		";;en
664601;CBTT-1-2014;Capacity-Building in Technology Transfer;;en
664829;EUJ-1-2014;Technologies combining big data, internet of things in the cloud;;en
664599;SC5-20-2014;Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials;;en
665084;DRS-12-2015;Critical Infrastructure Protection topic 1: Critical Infrastructure �smart grid� protection and resilience under �smart meters� threats;;en
664625;EINFRA-9-2015;e-Infrastructures for virtual research environments (VRE);;en
665116;BES-05-2015;Border crossing points topic 1: Novel mobility concepts for land border security;;en
665115;BES-04-2015;Maritime Border Security topic 4: Detection of low flying aircraft at near shore air space;;en
664858;LCE-11-2015;Developing next generation technologies for biofuels and sustainable alternative fuels;;en
665400;FCH-04.3-2014;Pre-normative research on vented deflagrations in containers and enclosures for hydrogen energy applications;;en
664622;EINFRA-6-2014;Network of HPC Competence Centres for SMEs;;en
664623;EINFRA-7-2014;Provision of core services across e-infrastructures;;en
665399;FCH-04.2-2014;Develop strategies to raise public awareness of fuel cell and hydrogen technologies;;en
664926;GV-1-2014;Next generation of competitive Li-ion batteries to meet customer expectations;;en
664932;GV-8-2015;Electric vehicles� enhanced performance and integration into the transport system and the grid;;en
664925;MG-9.7-2014;Innovation awards for students and researchers in the context of the Transport Research Arena conference - TRA 2016;;en
665001;NMP-01-2014;Open access pilot lines for cost-effective nanocomposites;;en
665082;DRS-10-2015;"Disaster Resilience &amp; Climate Change topic 2: Natural Hazards: Towards risk reduction science and innovation plans at national and European level";;en
664573;SC5-01-2014;Advanced Earth-system models;;en
665021;NMP-21-2014;Materials-based solutions for protection or preservation of European cultural heritage;;en
664765;BG-13-2014;Ocean literacy � Engaging with society � Social Innovation;;en
664849;LCE-04-2014;Market uptake of existing and emerging renewable electricity, heating and cooling technologies;;en
664662;COMPET-02-2015;Independent access to space;;en
665030;NMP-30-2015;Next generation tools for risk governance of nanomaterials;;en
665263;DRS-17-2014-1;Critical infrastructure protection topic 7: SME instrument topic: �Protection of Urban soft targets and urban critical infrastructures�;;en
664930;GV-5-2014;Electric two-wheelers and new ultra-light vehicle concepts;;en
665262;SC5-20-2014-1;Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials;;en
664857;LCE-11-2014;Developing next generation technologies for biofuels and sustainable alternative fuels;;en
665401;NFRP-16-2015;Supporting the licensing of Western nuclear fuel for reactors of VVER design operating in the EU;;en
664876;SCC-02-2014;Developing a framework for common, transparent data collection and performance measurement to allow comparability and replication between solutions and best-practice identification;;en
665178;PHC-09-2015;PHC 9 � 2015: Vaccine development for poverty-related and neglected infectious diseases: HIV/AIDS ;;en
664607;MSCA-ITN-2014-EID;Marie Sk?odowska-Curie Innovative Training Networks (ITN-EID);;en
664931;GV-7-2014;Future alternative fuel powertrains and components for heavy duty vehicles;;en
664966;REFLECTIVE-2-2015;Emergence and transmission of European cultural heritage and Europeanisation;;en
665431;JTI-CS2-CPW-ENG-02-01;Aerodynamic Design and Testing of Advanced Geared Fan Engine Modules;;en
664980;INT-04-2015;The European Union's contribution to global development: in search of greater policy coherence;;en
665632;SC5-11b-2014;Flexible processing technologies ;;en
664853;LCE-07-2014;Distribution grid and retail market;;en
665279;ICT;Information and Communication Technologies;;en
664856;LCE-10-2014;Next generation technologies for energy storage;;en
664880;SIE-01-2014;Stimulating the innovation potential of SMEs for a low carbon energy system;;en
665006;NMP-06-2015;Novel nanomatrices and nanocapsules;;en
665029;NMP-29-2015;Increasing the capacity to perform nano-safety assessment;;en
665120;BES-09-2014;Supply Chain Security topic 2: Technologies for inspections of large volume freight;;en
664929;GV-4-2014;Hybrid light and heavy duty vehicles;;en
665022;NMP-22-2015;Fibre-based materials for non-clothing applications;;en
664878;SCC-04-2014;Establishing networks of public procurers in local administrations on smart city solutions;;en
664670;Space-SME-2015-2;SME Instrument;;en
664969;REFLECTIVE-5-2015;The cultural heritage of war in contemporary Europe;;en
665265;SIE-01-2015-1;Stimulating the innovation potential of SMEs for a low carbon energy system;;en
665123;BES-12-2014;Conflict prevention and peace building topic 1: Enhancing the civilian conflict prevention and peace building capabilities of the EU;;en
664669;Space-SME-2015-1;SME Instrument;;en
665032;NMP-32-2015;Societal engagement on responsible nanotechnology;;en
665264;BIOTEC-5a-2014-1;SME boosting biotechnology-based industrial processes driving competitiveness and sustainability;;en
665117;BES-06-2015;Border crossing points topic 2: Exploring new modalities in biometric-based border checks;;en
665048;FoF-09-2015;ICT Innovation for Manufacturing SMEs (I4MS);;en
665009;NMP-09-2014;Networking of SMEs in the nano-biomedical sector;;en
664874;SCC-01-2014;Smart Cities and Communities solutions integrating energy, transport, ICT sectors through lighthouse (large scale demonstration - first of the kind) projects;;en
664778;ISIB-08a-2014; Engaging society, reaching end users and linking with policy makers for a participative governance of the bioeconomy;;en
664965;REFLECTIVE-1-2014;ERA-NET on Uses of the past;;en
664877;SCC-03-2015;Development of system standards for smart cities and communities solutions;;en
665455;MSCA-IF-2015-GF;Marie Sk?odowska-Curie Individual Fellowships (IF-GF);;en
665445;JTI-CS2-CPW-LPA-02-02;"Cabin &amp; Cargo Functional System and Operations";;en
665112;BES-01-2015;Maritime Border Security topic 1: radar systems for the surveillance of coastal and pre-frontier areas and in support of search and rescue operations;;en
665254;Food;Food;;en
664883;MG-1.1-2014;Competitiveness of European Aviation through cost efficiency and innovation;;en
665122;BES-11-2015;Information management topic 2: Information management, systems and infrastructure for civilian EU External Actions;;en
665118;BES-07-2015;Border crossing points topic 3: Optimization of border control processes and planning;;en
664961;YOUNG-2-2014;Youth mobility: opportunities, impacts, policies;;en
664809;ICT-24-2015;Robotics;;en
664767;BG-15-2014;European polar research cooperation;;en
665121;BES-10-2015;Information management topic 1: Civilian humanitarian mission personnel tracking;;en
665039;NMP-39-2014;Support for NCPs;;en
664957;EURO-4-2014;Political challenges for Europe;;en
664875;SCC-01-2015;Smart Cities and Communities solutions integrating energy, transport, ICT sectors through lighthouse (large scale demonstration - first of the kind) projects;;en
665031;NMP-31-2014;Novel visualization tools for enhanced nanotechnology awareness;;en
664638;GALILEO-3-2014;Releasing the potential of EGNSS applications through international cooperation;;en
664780;ISIB-10-2014;Networking of Bioeconomy relevant ERA-NETs;;en
664885;MG-1.3-2014;Seamless air mobility;;en
665269;INSO-10-2015-1;SME business model innovation;;en
664769;ISIB-01-2014;Provision of public goods by EU agriculture and forestry: Putting the concept into practice;;en
665435;JTI-CS2-CPW-ENG-04-01;More Advanced and Efficient Small Turbine Engines for the SAT Market;;en
665119;BES-08-2015;Supply Chain Security topic 1: Development of an enhanced non-intrusive (stand-off) scanner;;en
664884;MG-1.2-2015;Enhancing resource efficiency of aviation;;en
664798;ICT-13-2014;Web Entrepreneurship;;en
664791;ICT-06-2014;Smart optical and wireless network technologies;;en
665288;SPACE;SPACE;;en
665304;BBI.VC2.R5;Sugars from effluents of the pulping process and discharged fibres;;en
665287;SECURITY;SECURITY;;en
664635;GALILEO-1-2015;EGNSS applications;;en
664881;SIE-01-2015;Stimulating the innovation potential of SMEs for a low carbon energy system;;en
665257;PHC-12-2014-1;Clinical research for the validation of biomarkers and/or diagnostic medical devices;;en
665464;FTIPilot-1-2015;Fast Track to Innovation Pilot;;en
665305;BBI.VC3.R6;Fermentation processes to obtain biosurfactants and specialty carbohydrates from agricultural and agro-industrial streams;;en
664817;ICT-32-2014;Cybersecurity, Trustworthy ICT;;en
665436;JTI-CS2-CPW-FRC-02-01;"LifeRCraft Airframe - Central and Front Fuselage Sections - Design, Optimization, Manufacturing, V&amp;V including Airworthiness Substantiation";;en
665266;IT-1-2015-1;Small business innovation research for Transport;;en
664771;ISIB-02-2015;Closing the research and innovation divide: the crucial role of innovation support services and knowledge exchange;;en
665303;BBI.VC2.R4;Fibres and polymers from lignin;;en
665256;NMP-25-2014-1;Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs;;en
666160;GV-6-2015;Powertrain control for heavy-duty vehicles with optimised emission;;en
664636;GALILEO-2-2014;Small and Medium Enterprise (SME) based EGNSS applications;;en
664889;MG-1.7-2014;Support to European Aviation Research and Innovation Policy;;en
665255;ICT-37-2014-1;Open Disruptive Innovation Scheme (implemented through the SME instrument);;en
665306;BBI.VC3.R7;Protein products from plant residues;;en
665272;BIOTEC-5b-2015-1;SME boosting biotechnology-based industrial processes driving competitiveness and sustainability;;en
665307;BBI.VC3.R8;Bioactive compounds from meso-organism's bioconversion;;en
665261;IT-1-2014-1;Small business innovation research for Transport;;en
664815;ICT-30-2015;Internet of Things and Platforms for Connected Smart Objects;;en
664634;GALILEO-1-2014;EGNSS applications;;en
665267;SC5-20-2015-1;Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials;;en
665456;MSCA-ITN-2015-EID;Marie Sk?odowska-Curie Innovative Training Networks (ITN-EID);;en
665439;JTI-CS2-CPW-LPA-01-02;Integrated Flow Control Applied to large Civil Aircraft;;en
665200;PHC-29-2015;Public procurement of innovative eHealth services;;en
665271;NMP-25-2015-1;Accelerating the uptake of nanotechnologies, advanced materials or advanced manufacturing and processing technologies by SMEs;;en
665292;RFCS;Research Fund for Coal and Steel;;en
665204;PHC-33-2015;New approaches to improve predictive human safety testing;;en
664664;COMPET-04-2015;Space exploration � Habitat management;;en
664816;ICT-31-2014;Human-centric Digital Age;;en
665277;Health;Health;;en
665460;ERC-StG-2015;ERC Starting Grant;;en
665194;PHC-23-2014;Developing and comparing new models for safe and efficient, prevention oriented health and care systems;;en
664814;ICT-29-2014;Development of novel materials and systems for OLED lighting;;en
665252;Europe;Europe;;en
665741;SFS-17-2014;Innovative solutions for sustainable novel food processing;;en
666531;BBI.VC3.F1;Added value products from underutilised agricultural resources;;en
664886;MG-1.4-2014;Coordinated research and innovation actions targeting the highest levels of safety for European aviation;;en
665259;BG-12-2014-1;Supporting SMEs efforts for the development - deployment and market replication of innovative solutions for blue growth;;en
665270;DRS-17-2015-1;Critical infrastructure protection topic 7: SME instrument topic: Protection of Urban soft targets and critical infrastructures;;en
665268;INSO-9-2015-1;Innovative mobile e-government applications by SMEs;;en
665311;BBI.VC1.D2;Chemical building blocks and value-added materials through integrated processing of wood;;en
665384;FCH-01.6-2014;Engineering studies for large scale bus refuelling;;en
664887;MG-1.5-2014;Breakthrough innovation for European Aviation;;en
665289;SPREADING;SPREADING;;en
665213;HCO-08-2014;ERA-NET: Aligning national/regional translational cancer research programmes and activities;;en
664892;MG-2.1-2014;I�I � Intelligent Infrastructure;;en
665458;MSCA-ITN-2015-EJD;Marie Sk?odowska-Curie Innovative Training Networks (ITN-EJD);;en
665220;HCO-15-2014;Mobilisation and mutual learning action plan;;en
664891;MG-1.8-2015;International cooperation in aeronautics with Japan;;en
664668;Space-SME-2014-2;SME Instrument;;en
665216;HCO-11-2015;ERA NET Collaboration and alignment of national programmes and activities in the area of brain-related diseases and disorders of the nervous system;;en
665260;SIE-01-2014-1;Stimulating the innovation potential of SMEs for a low carbon energy system;;en
665258;SFS-08-2014-1;Resource-efficient eco-innovative food production and processing;;en
665206;HCO-01-2014;Support for the European Innovation Partnership on Active and Healthy Ageing;;en
665462;ERC-ADG-2015;ERC Advanced Grant;;en
665212;HCO-07-2014;ERA-NET: Establishing synergies between the Joint Programming on Neurodegenerative Diseases Research and Horizon 2020;;en
665274;PHC-12-2015-1;Clinical research for the validation of biomarkers and/or diagnostic medical devices;;en
665290;TRANSPORT;TRANSPORT;;en
665308;BBI.VC4.R9;Valuable products from heterogeneous biowaste streams;;en
665294;EIT-Raw-Material;Raw materials � sustainable exploration, extraction, processing, recycling and substitution;;en
664890;MG-1.8-2014;International cooperation in aeronautics;;en
665386;FCH-02.1-2014;Research in electrolysis for cost effective hydrogen production;;en
664896;MG-3.2-2014;Advanced bus concepts for increased efficiency;;en
664666;COMPET-06-2015;International Cooperation in space science;;en
664888;MG-1.6-2014;Improving skills and knowledge base in European Aviation;;en
665244;MG-3.6b-2015;Safe and connected automation in road transport;;en
665295;ERC-ADG-2014;ERC Advanced Grant;;en
665273;ICT-37-2015-1;Open Disruptive Innovation Scheme (implemented through the SME instrument);;en
665223;INNOSUP-2-2014;IPR helpdesk;;en
665275;SFS-08-2015-1;Resource-efficient eco-innovative food production and processing;;en
665385;FCH-01.7-2014;Large scale demonstration of refuelling infrastructure for road vehicles;;en
665245;MG-5.5b-2015;Demonstrating and testing innovative solutions for cleaner and better urban transport and mobility;;en
665309;BBI.VC4.R10;Nutrient recovery from biobased waste streams and residues;;en
665196;PHC-25-2015;Advanced ICT systems and services for integrated care;;en
665313;BBI.VC3.D4;Functional additives from residues from the agro-food industry;;en
665227;INNOSUP-6-2015;Capitalising the full potential of online collaboration for SME innovation;;en
665293;EIT-Health ;Innovation for healthy living and active ageing;;en
665299;Energy75;Energy 75 per cent reimbursement;;en
665224;INNOSUP-3-2014;IPorta 2;;en
664665;COMPET-05-2015;Scientific exploitation of astrophysics, comets, and planetary data;;en
664894;MG-2.3-2014;New generation of rail vehicles;;en
665201;PHC-30-2015;Digital representation of health data to improve disease diagnosis and treatment;;en
665424;JTI-CS2-CPW-AIR-02-01;New Wing and Aircraft Systems Design and Integration for Turboprop Regional Aircraft;;en
665423;JTI-CS2-CPW-AIR-01-02;Optimised Ice Protection Systems Integration in Innovative Control Surfaces;;en
665291;Prize-1-2014;Prize Innovation SOFT;;en
665314;BBI.VC4.D5;Cost efficient manure valorisation on large scale;;en
665248;Environment;Environment;;en
664667;Space-SME-2014-1;SME Instrument;;en
665195;PHC-24-2015;Piloting personalised medicine in health and care systems;;en
665217;HCO-12-2015;ERA NET: Antimicrobial resistance;;en
665210;HCO-05-2014;Global Alliance for Chronic Diseases: prevention and treatment of type 2 diabetes;;en
665312;BBI.VC2.D3;Advanced products from lignin and cellulose streams of the pulp and paper industry;;en
665302;BBI.VC2.R3;New products from sustainable cellulose pulp exploitation;;en
665246;MG-8.4b-2015;Smart governance, network resilience and streamlined delivery of infrastructure innovation;;en
665219;HCO-14-2014;Bridging the divide in European health research and innovation;;en
665297;MSCA-COFUND-2015-FP;Marie Sk?odowska-Curie Co-funding of regional, national and international programmes (COFUND-FP);;en
664893;MG-2.2-2014;Smart Rail Services;;en
665450;JTI-CS2-CPW-SYS-03-01;Model, Tools, Simulation and Integration;;en
665442;JTI-CS2-CPW-LPA-01-05;PoWer Turbine of the Flight Demonstrator Contra Rotative Open Rotor (CROR) Engine;;en
665226;INNOSUP-5-2014;peer learning of innovation agencies;;en
665389;FCH-02.4-2014;Robust manufacturing of stationary fuel cells with reduced quality control costs;;en
665378;ECSEL-02-2014;ECSEL Key Applications and Essential Technologies (IA);;en
665240;BIOTEC-4-2014;Downstream processes unlocking biotechnological transformations;;en
665209;HCO-04-2014;Support for international infectious disease preparedness research;;en
665296;MSCA-COFUND-2014-FP;Marie Sk?odowska-Curie Co-funding of regional, national and international programmes (COFUND-FP);;en
664895;MG-3.1-2014;MG-3.1-2014: Technologies for low emission powertrains;;en
665310;BBI.VC1.D1;Lignocellulosic residues to (di)carboxylic acids, diols and polyols;;en
665300;BBI.VC1.R1;Efficient pre-treatment of lignocellulosic feedstock to advanced bio-based chemicals and biomaterials;;en
665377;ECSEL-01-2014;ECSEL Key Applications and Essential Technologies (RIA);;en
665391;FCH-02.6-2014;Development of centrifugal hydrogen compressor technology;;en
665197;PHC-26-2014;Self management of health and disease: citizen engagement and mHealth;;en
665457;MSCA-ITN-2015-ETN;Marie Sk?odowska-Curie Innovative Training Networks (ITN-ETN);;en
665211;HCO-06-2015;Global Alliance for Chronic Diseases. Prevention and treatment of lung diseases;;en
665452;MG-1.9-2015;International cooperation in aeronautics with Canada;;en
665199;PHC-28-2015;Self management of health and disease and decision support systems based on predictive computer modelling used by the patient him or herself;;en
